docId,doc_date,vendor,receipt,old_rows,old_rows_total,gap,kind,items_that_sum_to_gap,rows,link
gm-19f19badba627de1,2026-06-30,The Home Depot,61.25,2,55.29,5.96,receipt > rows: return or omitted item?,"Smartwater 1L x2 @ 2.98, no tax 5.96",104 Ashburne/Supplies Home Depot 4.85 | 104 Ashburne/Supplies Home Depot 50.44,https://mail.google.com/mail/u/0/#all/19f19badba627de1
gm-19ba9590cb81d5f0,2026-01-10,The Home Depot,42.60,1,37.87,4.73,receipt > rows: return or omitted item?,Rayovac High Energy AA 4-pack (incl. share of sales tax) 4.73,104 Ashburne/HVAC Home Depot 37.87,https://drive.google.com/file/d/1kyud80EphC9da3rlTatYeYUsZMeiEeRj/view?usp=drivesdk
gm-1a0a12d20fcb1ae4,2026-08-14,City of Waxahachie - Water Billing Department,443.49,1,447.47,-3.98,"rows > receipt: another receipt, or a typed amount to check",,136 Bowling Green/ City of Red Oak 447.47,https://mail.google.com/mail/u/0/#all/1a0a12d20fcb1ae4
gm-19cb0399a28a4bdb,2026-03-02,The Home Depot,147.38,1,151.28,-3.90,"rows > receipt: another receipt, or a typed amount to check",,104 Ashburne/Supplies Home Depot 151.28,https://mail.google.com/mail/u/0/#all/19cb0399a28a4bdb
gm-19c6ce38c37d7ca4,2026-02-17,The Home Depot,166.08,4,162.22,3.86,receipt > rows: return or omitted item?,,RECAST BIZ/Tools Home Depot 12.96 | RECAST BIZ/Tools Home Depot 12.96 | RECAST BIZ/Tools Home Depot 12.96 | 104 Ashburne/Paint & Flooring Home Depot 123.34,https://mail.google.com/mail/u/0/#all/19c6ce38c37d7ca4
gm-19c576d1036e4a39,2026-02-13,The Home Depot,143.41,3,147.18,-3.77,"rows > receipt: another receipt, or a typed amount to check",,RECAST BIZ/Tools Home Depot 139.64 | 104 Ashburne/Supplies Home Depot 3.77 | 104 Ashburne/Supplies Home Depot 3.77,https://drive.google.com/file/d/1deGUzi8y68f1aSrD8FP3YYWyuViEaNoI/view?usp=drivesdk
gm-19e8f7d48435a6ab,2026-05-30,The Home Depot,7.83,1,4.85,2.98,receipt > rows: return or omitted item?,Smartwater 1L (non-taxable) 2.98,1616 Granite RECONCILED/ Home Depot 4.85,https://mail.google.com/mail/u/0/#all/19e8f7d48435a6ab
gm-19f42c17927282a4,2026-07-08,The Home Depot,55.34,3,52.44,2.90,receipt > rows: return or omitted item?,,881 Newport/ Home Depot 14.59 | 881 Newport/ Home Depot 16.22 | 136 Bowling Green/ Home Depot 21.63,https://mail.google.com/mail/u/0/#all/19f42c17927282a4
gm-19eea5d1a93a9656,2026-06-21,The Home Depot,10.19,2,7.42,2.77,receipt > rows: return or omitted item?,,1616 Granite RECONCILED/ Home Depot 3.71 | 280 Sparkling RECONCILED/ Home Depot 3.71,https://drive.google.com/file/d/1TCuGcstnP2KBJcC9loCD_5AzWMKCGOC1/view?usp=drivesdk
gm-19d4a3ee589e436a,2026-04-01,The Home Depot,93.58,1,96.34,-2.76,"rows > receipt: another receipt, or a typed amount to check",,RECAST BIZ/Tools Home Depot 96.34,https://drive.google.com/file/d/1bv7Pp9Yb2Xc7unJLH327L9MUkbbPuswv/view?usp=drivesdk
gm-19cc49cbe08d9420,2026-03-06,The Home Depot,128.82,2,126.09,2.73,receipt > rows: return or omitted item?,,104 Ashburne/Small Baths Home Depot 117.99 | 104 Ashburne/Supplies Home Depot 8.10,https://drive.google.com/file/d/127aDgHlWffvBjEcyqBY_leGPWk8R_NQe/view?usp=drivesdk
gm-19d2c0314cc37287,2026-03-26,The Home Depot,8.40,1,5.82,2.58,receipt > rows: return or omitted item?,Dasani water 20 oz (non-taxed) 2.58,104 Ashburne/Master Bath Home Depot 5.82,https://mail.google.com/mail/u/0/#all/19d2c0314cc37287
gm-19e8d1415d216814,2026-06-03,Uber,94.98,1,92.57,2.41,receipt > rows: return or omitted item?,,RECAST BIZ/Gas/Truck/Trailer North Texas Tollway Authority 92.57,https://mail.google.com/mail/u/0/#all/19e8d1415d216814
gm-19cddf3d9dcd3db2,2026-03-11,The Home Depot,6.68,1,8.64,-1.96,"rows > receipt: another receipt, or a typed amount to check",,104 Ashburne/Supplies Home Depot 8.64,https://drive.google.com/file/d/1j1WViQ7k1WHOmJZyBUSey6ulfsSND2ln/view?usp=drivesdk
gm-19f1526194ff1558,2026-06-29,The Home Depot,62.63,1,64.53,-1.90,"rows > receipt: another receipt, or a typed amount to check",,1616 Granite RECONCILED/ Home Depot 64.53,https://mail.google.com/mail/u/0/#all/19f1526194ff1558
gm-19d78c9cf7bcc5c4,2026-04-10,The Home Depot,263.29,1,261.42,1.87,receipt > rows: return or omitted item?,,104 Ashburne/House Hardware Home Depot 261.42,https://drive.google.com/file/d/1bOuFpm1xa9Mb-C4-jpV07mgg7LwRAJrC/view?usp=drivesdk
gm-1a06cc096121cd45,2026-09-04,The Home Depot,14.70,1,12.85,1.85,receipt > rows: return or omitted item?,,104 Ashburne/Supplies Home Depot 12.85,https://drive.google.com/file/d/1SrVW2xhnQQLyTqumgemDQsFuMLEogMmR/view?usp=drivesdk
gm-19e8f7d279f40059,2026-05-30,The Home Depot,45.14,1,43.29,1.85,receipt > rows: return or omitted item?,Orbit mushroom bubbler full-pattern sprinkler head (SKU 046878540422) $1.71 incl 1.85,1616 Granite RECONCILED/ Home Depot 43.29,https://drive.google.com/file/d/1zSpPFW_mjzMdrMO7fK0A4VmO47ZMCLAI/view?usp=drivesdk
gm-19c8bf46eab10e3a,2026-02-23,City of Ovilla,50.86,1,49.14,1.72,receipt > rows: return or omitted item?,Online payment convenience fee on utility payment 1.72,104 Ashburne/Utilities City of Ovilla 49.14,https://mail.google.com/mail/u/0/#all/19c8bf46eab10e3a
gm-19f1e7a4d47322d9,2026-07-01,Amazon,106.75,1,105.15,1.60,receipt > rows: return or omitted item?,,1616 Granite RECONCILED/ Amazon 105.15,https://mail.google.com/mail/u/0/#all/19f1e7a4d47322d9
gm-19ed8195997d06ad,2026-06-17,The Home Depot,77.88,1,79.46,-1.58,"rows > receipt: another receipt, or a typed amount to check",,1616 Granite RECONCILED/ Home Depot 79.46,https://drive.google.com/file/d/1RJK6W8exngKBTL9dhJVHUWLaJtJdP2ft/view?usp=drivesdk
gm-19ccf1f38113d4f9,2026-03-08,The Home Depot,106.75,4,105.20,1.55,receipt > rows: return or omitted item?,,104 Ashburne/Countertops & Backsplash Home Depot 14.38 | 104 Ashburne/Master Bath Home Depot 54.08 | 104 Ashburne/Supplies Home Depot 18.37 | 104 Ashburne/Supplies Home Depot 18.37,https://drive.google.com/file/d/1YZP3vIlLKmDqA2Z2GYHiZhc4rLiQN0Xv/view?usp=drivesdk
gm-19f3f68f0a53b2e9,2026-06-27,The Home Depot,2.01,1,3.43,-1.42,"rows > receipt: another receipt, or a typed amount to check",,1616 Granite RECONCILED/ Home Depot 3.43,https://mail.google.com/mail/u/0/#all/19f3f68f0a53b2e9
gm-19cf3177d3ee370b,2026-03-15,The Home Depot,36.72,3,35.35,1.37,receipt > rows: return or omitted item?,,RECAST BIZ/Tools Home Depot 29.21 | 104 Ashburne/Supplies Home Depot 3.07 | 104 Ashburne/Supplies Home Depot 3.07,https://drive.google.com/file/d/1Khf1l0UStQxjhBklhnHrIIcDUeXEG_k9/view?usp=drivesdk
gm-19c6859ab582b6f5,2026-02-16,The Home Depot,30.79,1,29.74,1.05,receipt > rows: return or omitted item?,,104 Ashburne/Supplies Home Depot 29.74,https://mail.google.com/mail/u/0/#all/19c6859ab582b6f5
gm-19df4b2c6e1e5aee,2026-05-04,Shell,66.51,1,65.48,1.03,receipt > rows: return or omitted item?,,104 Ashburne/Gas/Truck/Trailer Shell 65.48,https://mail.google.com/mail/u/0/#all/19df4b2c6e1e5aee
gm-19fd7f3f3ed0e605,2026-08-06,McCoy's Building Supply,44.56,1,45.56,-1.00,"rows > receipt: another receipt, or a typed amount to check",,136 Bowling Green/ McCoy's 45.56,https://drive.google.com/file/d/128f00XZRGnTA0ue9E_DhO7l4bXIDo7nd/view?usp=drivesdk
gm-19d6461d769e7e56,2026-04-06,The Home Depot,34.01,1,34.91,-0.90,"rows > receipt: another receipt, or a typed amount to check",,104 Ashburne/Small Baths Home Depot 34.91,https://drive.google.com/file/d/1C7ZiYTILoKbZKdoe7W9l8qekhlNuxSLe/view?usp=drivesdk
gm-19f00c2049c512fe,2026-06-25,The Home Depot,176.59,11,177.45,-0.86,"rows > receipt: another receipt, or a typed amount to check",,881 Newport/ Home Depot 7.56 | 881 Newport/ Home Depot 6.47 | 136 Bowling Green/ Home Depot 6.47 | 136 Bowling Green/ Home Depot 7.56 | 136 Bowling Green/ Home Depot 11.71 | 136 Bowling Green/ Home Depot 60.59 | 136 Bowling Green/ Home Depot 45.97 | 136 Bowling Green/ Home Depot 11.71 | 136 Bowling ,https://mail.google.com/mail/u/0/#all/19f00c2049c512fe
gm-19ca6cf04236bd89,2026-02-28,The Home Depot,2.84,2,3.54,-0.70,"rows > receipt: another receipt, or a typed amount to check",,104 Ashburne/House Hardware Home Depot 2.48 | 104 Ashburne/Supplies Home Depot 1.06,https://mail.google.com/mail/u/0/#all/19ca6cf04236bd89
gm-19ff17e1bc0effd7,2026-08-11,The Home Depot,20.94,1,21.63,-0.69,"rows > receipt: another receipt, or a typed amount to check",,881 Newport/ Home Depot 21.63,https://drive.google.com/file/d/1Sf3mLx-4yZEnb5vdBm4ovpjufF9RS30M/view?usp=drivesdk
gm-19d7e6d319ca7b28,2026-04-11,Shell,22.39,1,21.72,0.67,receipt > rows: return or omitted item?,,RECAST BIZ/Meals Shell 21.72,https://mail.google.com/mail/u/0/#all/19d7e6d319ca7b28
gm-19f1083966df0eb6,2026-06-28,The Home Depot,7.47,2,8.06,-0.59,"rows > receipt: another receipt, or a typed amount to check",,104 Ashburne/Supplies Home Depot 4.03 | 280 Sparkling RECONCILED/ Home Depot 4.03,https://mail.google.com/mail/u/0/#all/19f1083966df0eb6
gm-19f3d8464aa86145,2026-07-07,Butter and Grace - The Mini,38.15,1,38.65,-0.50,"rows > receipt: another receipt, or a typed amount to check",,RECAST BIZ/Meals Butter and Grace - The Mini 38.65,https://mail.google.com/mail/u/0/#all/19f3d8464aa86145
gm-19f0e8b993f57cd0,2026-06-28,The Home Depot,6.35,2,6.82,-0.47,"rows > receipt: another receipt, or a typed amount to check",,136 Bowling Green/ Home Depot 1.97 | 136 Bowling Green/ Home Depot 4.85,https://drive.google.com/file/d/1LDbnvaDUWaehYpm43Pn3u2YCPeYJv8cg/view?usp=drivesdk
gm-19bc4186ab17e432,2026-01-15,The Home Depot,3.98,1,4.33,-0.35,"rows > receipt: another receipt, or a typed amount to check",,104 Ashburne/House Hardware Home Depot 4.33,https://mail.google.com/mail/u/0/#all/19bc4186ab17e432
gm-1a05d57329a431d5,2026-09-01,Butter &amp; Grace,25.91,1,26.24,-0.33,"rows > receipt: another receipt, or a typed amount to check",,RECAST BIZ/Meals Butter & Grace 26.24,https://mail.google.com/mail/u/0/#all/1a05d57329a431d5
gm-19c1eedb38c22d7c,2026-02-02,Local Government Solutions (Online Record Search),10.30,1,10.00,0.30,receipt > rows: return or omitted item?,,RECAST BIZ/Business Local Government Solutions (Online Record Search) 10.00,https://drive.google.com/file/d/1oDoPyYUyoQs5ighYtfvOaCQHuIZUu4q1/view?usp=drivesdk
gm-19c976016b5f86ab,2026-02-25,Local Government Solutions (Online Record Search),10.30,1,10.00,0.30,receipt > rows: return or omitted item?,LGS online records transaction fee 0.30,RECAST BIZ/Business Local Government Solutions (Online Record Search) 10.00,https://drive.google.com/file/d/1FgimijyoGkZQ9j9-irA73CjUSqTlIJ8t/view?usp=drivesdk
gm-19ebe2f8faafa480,2026-06-11,Atmos Energy,31.60,1,31.31,0.29,receipt > rows: return or omitted item?,,104 Ashburne/Utilities Atmos Energy 31.31,https://mail.google.com/mail/u/0/#all/19ebe2f8faafa480
gm-1a067bd438f39de3,2026-09-03,Floor and Decor,42.21,1,42.41,-0.20,"rows > receipt: another receipt, or a typed amount to check",,469 Brushwood/ Floor & Decor 42.41,https://drive.google.com/file/d/1Q02T9GHJ95gMXo_uuAVTsq6KWmjwq3aW/view?usp=drivesdk
gm-19ed81985682b730,2026-06-17,Shell,66.64,1,66.51,0.13,receipt > rows: return or omitted item?,,104 Ashburne/Gas/Truck/Trailer Shell 66.51,https://mail.google.com/mail/u/0/#all/19ed81985682b730
gm-19f98341582eb450,2026-07-25,TXU Energy,102.16,1,102.12,0.04,receipt > rows: return or omitted item?,,136 Bowling Green/ TXU 102.12,https://mail.google.com/mail/u/0/#all/19f98341582eb450
gm-19d9299078f0128e,2026-04-15,Shell,10.95,1,10.97,-0.02,"rows > receipt: another receipt, or a typed amount to check",,104 Ashburne/Gas/Truck/Trailer Shell 10.97,https://mail.google.com/mail/u/0/#all/19d9299078f0128e
gm-19ce39f32dd9c9c0,2026-03-12,The Home Depot,673.29,2,673.30,-0.01,"rows > receipt: another receipt, or a typed amount to check",Milwaukee M18 FUEL 16GA angled finish nailer + M18 5.0Ah battery/charger starter 625.68,RECAST BIZ/Tools Home Depot 625.69 | 104 Ashburne/Supplies Home Depot 47.61,https://mail.google.com/mail/u/0/#all/19ce39f32dd9c9c0
